paradigm,window,subject,fold,model,method,label_source,sample_idx,class_idx,runtime_seconds,hardware,score_type,n_samples_timed,partition_id,n_partitions,method_params
MI,2.5-5,43,1,tgarnet,LIME,y_test,3,0,2.4601048429999537,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,7,1,3.6440740640000513,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,9,0,2.8896809909999774,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,11,0,2.3719449780001014,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,12,0,2.5187161970000034,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,14,1,2.3811839130000862,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,17,0,3.3589064380000764,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,18,0,3.046110666000004,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,19,0,2.5047051750000264,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,23,1,2.447045483000011,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,24,1,2.605474605000154,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,27,1,3.12689976799993,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,29,1,2.9248191090000546,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
