window,model,subject,n_folds,seed,mean_accuracy,std_accuracy,mean_recall,std_recall,mean_precision,std_precision,mean_kappa,std_kappa,mean_auc,std_auc
2.5-5,eegnet,1,5,42,0.845,0.059686681931566614,0.845,0.05968668193156664,0.8563609271281905,0.05467436574367708,0.69,0.1193733638631332,0.9415000000000001,0.028095818194172603
2.5-5,eegnet,2,5,42,0.51,0.10093314619093177,0.51,0.10093314619093177,0.5836395256042921,0.18773321857453665,0.019999999999999997,0.20186629238186354,0.5195000000000001,0.142668759719849
2.5-5,eegnet,3,5,42,0.9549999999999998,0.020916500663351868,0.9549999999999998,0.020916500663351868,0.9583418031244119,0.017861857717424035,0.9099999999999999,0.04183300132670376,0.9824999999999999,0.01299038105676658
2.5-5,eegnet,4,5,42,0.8949999999999999,0.011180339887498959,0.8949999999999999,0.011180339887498935,0.9034707982076403,0.016634782237055508,0.79,0.022360679774997918,0.9595,0.02648112535373071
2.5-5,eegnet,5,5,42,0.9196153846153846,0.03253355118431925,0.9197368421052632,0.03255083388645521,0.9231803565334324,0.030140294709473287,0.8392509855453352,0.06506980676089227,0.9622368421052631,0.045910212112092084
2.5-5,eegnet,6,5,42,0.7912698412698413,0.11463515800461593,0.7781578947368422,0.12111733110804929,0.8100700334523865,0.11877331299446281,0.5666472421384393,0.24330168084187506,0.9160855263157895,0.06002741954123778
2.5-5,eegnet,7,5,42,0.575,0.07705517503711219,0.575,0.07705517503711219,0.5875716172150808,0.08979700277623678,0.14999999999999997,0.15411035007422444,0.55,0.08116341540373963
2.5-5,eegnet,8,5,42,0.5351282051282051,0.05164415428609865,0.5352631578947368,0.049664734697531354,0.5358334119777114,0.05224378600648384,0.070811538893254,0.09921376127658008,0.529921052631579,0.048354824559414346
2.5-5,eegnet,9,5,42,0.5,0.1,0.5,0.1,0.5016745828766289,0.10680081167874739,2.2204460492503132e-17,0.19999999999999998,0.515,0.0797652806677191
2.5-5,eegnet,10,5,42,0.76,0.07826237921249264,0.76,0.07826237921249263,0.7742761999242427,0.07809526704578108,0.5199999999999999,0.15652475842498528,0.861,0.08150153372789985
2.5-5,eegnet,11,5,42,0.48500000000000004,0.10093314619093176,0.48500000000000004,0.10093314619093173,0.4869345238095238,0.142389580832278,-0.030000000000000027,0.20186629238186354,0.525,0.11640446726822816
2.5-5,eegnet,12,5,42,0.7020168067226891,0.08993088700518705,0.7029411764705882,0.08902904895565152,0.7052459129278015,0.08765655532523782,0.4052468216621262,0.17861385332522653,0.7331795463283353,0.09035323968929646
2.5-5,eegnet,13,5,42,0.885,0.028504385627478476,0.885,0.02850438562747846,0.8948585029484208,0.02029187429937491,0.77,0.05700877125495691,0.96175,0.02452039967047848
2.5-5,eegnet,14,5,42,0.9799999999999999,0.02091650066335191,0.9799999999999999,0.02091650066335191,0.9813852813852814,0.019153092472405996,0.96,0.04183300132670377,0.9995,0.0011180339887499207
2.5-5,eegnet,15,5,42,0.6284750337381917,0.051731991628924355,0.6298538011695907,0.050144749608233743,0.6529002467599574,0.06644206572218127,0.25914293931550186,0.10091123462183416,0.7276731301939058,0.053590227015857805
2.5-5,eegnet,16,5,42,0.5525641025641026,0.04358738681411592,0.5526315789473684,0.043510673062595956,0.5583295846453742,0.04662438180550321,0.10525624178712223,0.08702919017113103,0.5302631578947368,0.07440454992714822
2.5-5,eegnet,17,5,42,0.485,0.07826237921249261,0.48500000000000004,0.07826237921249267,0.48402341832648743,0.08010057865968974,-0.02999999999999998,0.15652475842498523,0.492,0.09855835834671758
2.5-5,eegnet,18,5,42,0.655,0.06708203932499365,0.655,0.06708203932499365,0.6595509165458014,0.06486165433025874,0.30999999999999994,0.1341640786499874,0.7255,0.0764934637730571
2.5-5,eegnet,19,5,42,0.5731527093596058,0.03276417597993954,0.5351904223227752,0.037306632010459376,0.5042232043318999,0.12769991460232377,0.07325237889961533,0.07720509324585596,0.5947445324283559,0.061512023898526426
2.5-5,eegnet,20,5,42,0.674264705882353,0.036543451881732886,0.5718181818181818,0.053970028753680455,0.6218487394957982,0.19084142771723972,0.16478632478632477,0.12222281991366621,0.7175757575757575,0.16605466147289535
2.5-5,eegnet,21,5,42,0.7478205128205128,0.1251590047214078,0.7492105263157894,0.12262141362882918,0.7640191387559809,0.10982467181153978,0.4980155642023346,0.24597981878628267,0.8364736842105265,0.14101897796684817
2.5-5,eegnet,22,5,42,0.725,0.08291561975888499,0.725,0.08291561975888499,0.7415828031617505,0.08194331732068733,0.45,0.16583123951776998,0.8130000000000001,0.0863025202413
2.5-5,eegnet,23,5,42,0.9289743589743591,0.01107880741332348,0.9289473684210527,0.010318675750893524,0.9308088402825245,0.013322466973821737,0.857921496156633,0.02198003035470341,0.9782894736842106,0.007045312384330285
2.5-5,eegnet,24,5,42,0.6285897435897436,0.12544922565834132,0.6284210526315789,0.12529950268840342,0.6340858186286575,0.13278577068462846,0.2569565217391304,0.2507003422927637,0.6847368421052632,0.1181519603479859
2.5-5,eegnet,25,5,42,0.5405128205128206,0.0439053431651364,0.5407894736842105,0.04288948950791215,0.5628966684801598,0.06085250981618428,0.08159958654184389,0.0859733460256739,0.5341842105263158,0.10583235907389955
2.5-5,eegnet,26,5,42,0.8150000000000001,0.0651920240520265,0.8150000000000001,0.06519202405202647,0.8197339940760994,0.06604818582783319,0.63,0.130384048104053,0.8699999999999999,0.04946589734352347
2.5-5,eegnet,27,5,42,0.4756756756756757,0.04098851591379217,0.47394048847609216,0.03447009722229278,0.5191204914460064,0.13766286402765338,-0.05151151977016868,0.06925497199756189,0.47780185758513927,0.055908461093251344
2.5-5,eegnet,28,5,42,0.7344871794871795,0.06768271590940415,0.7323684210526314,0.0713844590735961,0.7621510164597117,0.041585859111370846,0.46575757805611984,0.14022857278822998,0.8612894736842105,0.02332260503925697
2.5-5,eegnet,30,5,42,0.5083333333333334,0.07496295381349674,0.5044871794871794,0.07477640349331555,0.5186064425770308,0.09167731736726834,0.009066070541480387,0.15029877889070645,0.4668803418803419,0.10204040197588742
2.5-5,eegnet,31,5,42,0.7085897435897436,0.07172558469840964,0.708421052631579,0.07169905750876665,0.7311202131202131,0.0838878834770944,0.41695652173913034,0.1434156648698346,0.7930263157894737,0.08537785698062395
2.5-5,eegnet,32,5,42,0.5549999999999999,0.06471089552772392,0.5549999999999999,0.06471089552772391,0.573040232175738,0.0810309194878767,0.10999999999999999,0.12942179105544788,0.6005,0.0495100999797011
2.5-5,eegnet,33,5,42,0.5226923076923077,0.07421183497060385,0.523421052631579,0.07442298813830914,0.5265500771158667,0.07743046810652367,0.046710182767624044,0.14880486327087963,0.5144736842105263,0.09037606104479384
2.5-5,eegnet,35,5,42,0.875,0.05303300858899107,0.875,0.05303300858899107,0.8783854136620324,0.05122082581494848,0.75,0.10606601717798213,0.9620000000000001,0.02797320146139873
2.5-5,eegnet,36,5,42,0.7692307692307692,0.040542021284209966,0.7684210526315789,0.041888835209820015,0.7797475660024455,0.03692803610264518,0.5373752780987922,0.08250184677747166,0.8,0.08290517895801768
2.5-5,eegnet,37,5,42,0.765,0.04541475531146238,0.7649999999999999,0.045414755311462364,0.7788853527681094,0.04342475932521237,0.53,0.09082951062292476,0.892,0.03309078421554859
2.5-5,eegnet,38,5,42,0.5186234817813765,0.059766328021325546,0.5181578947368422,0.06032862451844966,0.5217373387482083,0.06745621983310139,0.03625112980602101,0.12073628384116389,0.5580886426592798,0.09638852349754119
2.5-5,eegnet,39,5,42,0.7534615384615384,0.04371353086934401,0.7539473684210527,0.04286930146748663,0.7606637688152025,0.04349340156824788,0.5074869109947644,0.08644465025772832,0.8409736842105262,0.03801796029127736
2.5-5,eegnet,40,5,42,0.585,0.02850438562747844,0.585,0.02850438562747844,0.5923574937867133,0.04069935982069282,0.16999999999999998,0.057008771254956896,0.6065,0.03338225576560097
2.5-5,eegnet,41,5,42,0.8788461538461538,0.09251778974942246,0.8786842105263158,0.09275802524060868,0.8954415954415953,0.08596798596385653,0.7575098814229249,0.18530600558428723,0.9609473684210526,0.04059646611395907
2.5-5,eegnet,42,5,42,0.5800000000000001,0.05700877125495691,0.5800000000000001,0.05700877125495691,0.5970384358771456,0.0623400582708321,0.16,0.11401754250991379,0.635,0.06257495505391915
2.5-5,eegnet,43,5,42,0.99,0.013693063937629165,0.99,0.013693063937629165,0.9904761904761905,0.01304101327393254,0.9800000000000001,0.02738612787525833,0.999,0.0022360679774997916
