data_fold,paradigm,window,model,method,subject,fold,percentage_removed,MoRF_score_mean,MoRF_score_std,LeRF_score_mean,LeRF_score_std,ROAD_score_gap_mean,ROAD_score_gap_std,n_samples
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,10.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,20.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,30.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,50.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,70.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,90.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,100.0,0.7678372643922611,0.383604342924555,0.7678372643922611,0.383604342924555,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,0.0,0.9556388470423208,0.10257862450086619,0.9556388470423208,0.10257862450086619,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,1.0,0.8658044884071067,0.24580964223392782,0.8623004846018073,0.24703954411861515,-0.0035040038052993857,0.3478197856565555,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,2.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,5.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,10.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,20.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,30.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,50.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,70.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,90.0,0.7152922808502012,0.3177855230193061,0.6741007718888229,0.3273325180116608,-0.04119150896137835,0.3119040750264337,1722
4.0,TDAH,TDAH,tgarnet,LIME,,5,100.0,0.7678372643922611,0.383604342924555,0.7678372643922611,0.383604342924555,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,0.0,0.9556388470423208,0.10257862450086619,0.9556388470423208,0.10257862450086619,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,1.0,0.841822868853139,0.279858427292463,0.9559343191166291,0.17297860991161632,0.11411145026349002,0.3182775209797626,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,2.0,0.7805609293834362,0.33765994216714357,0.9599030506806563,0.17200052398524354,0.17934212129721996,0.37749701430153393,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,5.0,0.6423108490165471,0.4061037421453776,0.9579325329838716,0.1786173967241613,0.3156216839673245,0.4518285637622765,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,10.0,0.4832601267170238,0.42381710328366007,0.9546484830301125,0.1874067477689445,0.4713883563130887,0.4820881931838344,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,20.0,0.34363950183724523,0.39983968637529,0.9469597766215851,0.20341017059325578,0.6033202747843399,0.4710360425133598,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,30.0,0.3439085812415222,0.41076327793175216,0.9398798973873541,0.21390734128487707,0.5959713161458318,0.4735083665417863,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,50.0,0.45303487365015516,0.44261948765485365,0.8893669620110904,0.2816966362588779,0.43633208836093534,0.5150093408751397,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,70.0,0.524954904885819,0.45193532360406097,0.7251175405128386,0.40976811170351835,0.2001626356270196,0.6844091839007076,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,90.0,0.5674919775491081,0.454277752219326,0.5432451417040421,0.45868027293776287,-0.024246835845065925,0.7410781542294095,1722
4.0,TDAH,TDAH,tgarnet,Occlusion,,5,100.0,0.7678372643922611,0.383604342924555,0.7678372643922611,0.383604342924555,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,0.0,0.9556388470423208,0.10257862450086619,0.9556388470423208,0.10257862450086619,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,1.0,0.9359683550496204,0.14373124707332147,0.9604051588546663,0.09418144880127736,0.024436803805045825,0.08547105227503629,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,2.0,0.9209294200731002,0.1733826370146276,0.9613720900990268,0.09461273394449048,0.04044267002592657,0.123436658237503,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,5.0,0.8949992977473215,0.21667895153996633,0.9622438579741498,0.10147954183529108,0.06724456022682834,0.17941198159911576,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,10.0,0.8518627605075936,0.2646868699081361,0.9672779902365842,0.09362305649834278,0.11541522972899057,0.23771291780666196,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,20.0,0.7782755607778885,0.3250649132258126,0.9715573466899421,0.09746518638524627,0.1932817859120536,0.3130977749739197,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,30.0,0.6853286792396636,0.3770882004331662,0.9796805505021005,0.08345511389127133,0.29435187126243695,0.37055765820268416,1722
